89109 5.508
81812 5.508
73032 5.508
68137 5.508
5771 5.508
4760 5.508
42016 5.508
36667 5.508
34030 5.508
31765 5.508
245856 5.508
244386 5.508
242734 5.508
237220 5.508
226375 5.508
226325 5.508
20410 5.508
139777 5.508
128804 5.508
128062 5.508
126377 5.508
120231 5.508
118384 5.508
118145 5.508
103612 5.508
127555 2.004
44270 1.128
194928 1.128
98657 0.18
70775 0.18
6567 0.18
633 0.18
54101 0.18
46789 0.18
37729 0.18
37339 0.18
35608 0.18
30031 0.18
258387 0.18
254689 0.18
252614 0.18
247049 0.18
242690 0.18
231897 0.18
231075 0.18
221669 0.18
212294 0.18
19983 0.18
198343 0.18
191719 0.18
185642 0.18
182905 0.18
178021 0.18
176560 0.18
176170 0.18
174349 0.18
174314 0.18
171951 0.18
161230 0.18
160838 0.18
159453 0.18
159302 0.18
146969 0.18
139550 0.18
1394 0.18
132610 0.18
129157 0.18
124897 0.18
121874 0.18
121857 0.18
11447 0.18
